"filename", "language", "C", "comment", "blank", "total"
"/home/dawidogg/Documents/storageD/ITU/4thsemester/Computer Organization/Projects/assembler/assembler.c", "C", 330, 20, 37, 387
"Total", "-", 330, 20, 37, 387
